time=565000 | coin_10=0 | coin_5=0 | cancel=0 | state=00 | bal=0 | ch=0 | sel=10 | coke=0 pepsi=0 thumsup=0 | r5=0 r10=0 | insufficient=0
time=575000 | coin_10=1 | coin_5=0 | cancel=0 | state=00 | bal=0 | ch=0 | sel=10 | coke=0 pepsi=0 thumsup=0 | r5=0 r10=0 | insufficient=0
time=585000 | coin_10=0 | coin_5=0 | cancel=0 | state=01 | bal=10 | ch=0 | sel=10 | coke=0 pepsi=0 thumsup=0 | r5=0 r10=0 | insufficient=0
time=595000 | coin_10=0 | coin_5=1 | cancel=0 | state=01 | bal=10 | ch=0 | sel=10 | coke=0 pepsi=0 thumsup=0 | r5=0 r10=0 | insufficient=0
time=605000 | coin_10=0 | coin_5=0 | cancel=0 | state=01 | bal=15 | ch=0 | sel=10 | coke=0 pepsi=0 thumsup=0 | r5=0 r10=0 | insufficient=0
time=615000 | coin_10=0 | coin_5=0 | cancel=1 | state=01 | bal=15 | ch=0 | sel=10 | coke=0 pepsi=0 thumsup=0 | r5=0 r10=0 | insufficient=0
time=625000 | coin_10=0 | coin_5=0 | cancel=0 | state=11 | bal=0 | ch=15 | sel=10 | coke=0 pepsi=0 thumsup=0 | r5=0 r10=1 | insufficient=0
time=635000 | coin_10=0 | coin_5=0 | cancel=0 | state=11 | bal=0 | ch=5 | sel=10 | coke=0 pepsi=0 thumsup=0 | r5=1 r10=0 | insufficient=0
time=645000 | coin_10=0 | coin_5=0 | cancel=0 | state=11 | bal=0 | ch=0 | sel=10 | coke=0 pepsi=0 thumsup=0 | r5=0 r10=0 | insufficient=0
time=655000 | coin_10=0 | coin_5=0 | cancel=0 | state=00 | bal=0 | ch=0 | sel=10 | coke=0 pepsi=0 thumsup=0 | r5=0 r10=0 | insufficient=0
time=665000 | coin_10=0 | coin_5=0 | cancel=0 | state=00 | bal=0 | ch=0 | sel=10 | coke=0 pepsi=0 thumsup=0 | r5=0 r10=0 | insufficient=0
time=675000 | coin_10=0 | coin_5=0 | cancel=0 | state=00 | bal=0 | ch=0 | sel=10 | coke=0 pepsi=0 thumsup=0 | r5=0 r10=0 | insufficient=0
time=685000 | coin_10=0 | coin_5=0 | cancel=0 | state=00 | bal=0 | ch=0 | sel=10 | coke=0 pepsi=0 thumsup=0 | r5=0 r10=0 | insufficient=0
time=695000 | coin_10=0 | coin_5=0 | cancel=0 | state=00 | bal=0 | ch=0 | sel=10 | coke=0 pepsi=0 thumsup=0 | r5=0 r10=0 | insufficient=0
time=705000 | coin_10=0 | coin_5=0 | cancel=0 | state=00 | bal=0 | ch=0 | sel=10 | coke=0 pepsi=0 thumsup=0 | r5=0 r10=0 | insufficient=0
time=715000 | coin_10=0 | coin_5=0 | cancel=0 | state=00 | bal=0 | ch=0 | sel=10 | coke=0 pepsi=0 thumsup=0 | r5=0 r10=0 | insufficient=0
time=725000 | coin_10=0 | coin_5=0 | cancel=0 | state=00 | bal=0 | ch=0 | sel=10 | coke=0 pepsi=0 thumsup=0 | r5=0 r10=0 | insufficient=0
